wine_id,wine_name,winery,wine_type,grape_variety,region,country,vintage,average_rating,num_ratings,price_eur,wine_style,food_pairing,alcohol_content,wine_url,scrape_date
7518337,Veinte Meses,Bodegas Paco Mulero,Red wine,"Shiraz/Syrah, Cabernet Sauvignon, Monastrell",Jumilla,Spain,2023,4.3,301,24.50,Spanish Red,Beef; Veal; Poultry; Pasta,15.5,https://www.vivino.com/en/bodegas-paco-mulero-veinte-meses/w/7518337?year=2023&price_id=41408210,2026-04-06
1218067,Ribera del Duero Una Cepa I,Bodegas Valduero,Red wine,"Tinto Fino, Tempranillo",Ribera del Duero,Spain,2020,4.3,16505,31.90,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",14,https://www.vivino.com/en/valduero-bodegas-y-vinedo-ribera-del-duero-una-cepa-i-ribera-del-duero/w/1218067?year=2020&price_id=41676588,2026-04-06
1166594,Parcela El Nogal Tinto,Pago de Los Capellanes,Red wine,"Tempranillo, Tinto Fino",Ribera del Duero,Spain,2021,4.4,10116,55.57,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",15.5,https://www.vivino.com/en/pago-de-los-capellanes-parcela-el-nogal-tinto/w/1166594?year=2021&price_id=41500685,2026-04-06
11759190,Limited Edition,Dominio Lubiano,Red wine,Tempranillo,Ribera del Duero,Spain,2021,4.3,167,30.37,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",15,https://www.vivino.com/en/dominio-lubiano-limited-edition/w/11759190?year=2021&price_id=41499996,2026-04-06
4816669,Purgapecados,Dehesa de Luna,Red wine,Cabernet Sauvignon,Castilla,Spain,2018,4.2,183,23.90,Spanish Cabernet Sauvignon,Beef; Lamb; Poultry,15,https://www.vivino.com/en/dehesa-de-luna-purgapecados/w/4816669?year=2018&price_id=41771147,2026-04-06
1217701,Erial Tradición Familia,Epifanio Rivera,Red wine,Tempranillo,Ribera del Duero,Spain,2023,4.3,1573,24.95,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",14.5,https://www.vivino.com/en/epifanio-rivera-erial-tradicion-familia/w/1217701?year=2023&price_id=40808034,2026-04-06
4875765,Garmón,Bodegas Mauro,Red wine,Tempranillo,Ribera del Duero,Spain,2019,4.3,8603,34.50,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",14.5,https://www.vivino.com/en/undefined-undefined/w/4875765?year=2019&price_id=30944612,2026-04-06
1829321,Grillo,El Grillo y La Luna,Red wine,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Garnacha",Somontano,Spain,2017,4.3,3963,29.50,Spanish Red,Beef; Veal; Poultry; Pasta,14.5,https://www.vivino.com/en/el-grillo-y-la-luna-grillo/w/1829321?year=2017&price_id=40829936,2026-04-06
2055586,Tinto,Sei Solo,Red wine,Tinto Fino,Ribera del Duero,Spain,2022,4.4,1529,50.90,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",14,https://www.vivino.com/en/sei-solo-tinto/w/2055586?year=2022&price_id=41500325,2026-04-06
2109725,Profunda,Raíz de Guzmán,Red wine,Tempranillo,Ribera del Duero,Spain,2019,4.3,627,48.95,Spanish Ribera Del Duero Red,"Beef; Lamb; Game (deer, venison)",13.5,https://www.vivino.com/en/raiz-de-guzman-profunda/w/2109725?year=2019&price_id=40587058,2026-04-06
